ID,ID_IAU,PARENT,PARENT_IAU,EPOCH,A_SEMI_MAJOR_AXIS_KM,EC_ECCENTRICITY,W_ARG_PERIAPSIS_DEG,MA_MEAN_ANOMALY_DEG,IN_INCLINATION_DEG,OM_LONGITUDE_ASCENDING_NODE_DEG,PR_SIDEREAL_ORBIT_PERIOD_SEC,AXIAL_TILT_DEG,MEAN_RADIUS_KM,GM_KM3/S2,PERIOD_SEC,RETROGRADE_ROT,MODEL_TYPE,GROUP,BODY_TYPE
Mercury,1,Sol,10,2451545,57909068.3,0.2056,29.12,174.80,7.01,48.33,7600530,0.027,2439.4,22031.868,5067014,FALSE,TerrestrialBody,Planet,PlanetaryBody
Venus,2,Sol,10,2451545,108208168.2,0.0068,55.19,50.11,3.39,76.68,19413936,177.4,6051.84,324858.592,20996755,TRUE,AtmosphericBody,Planet,AtmosphericBody
Earth,3,Sol,10,2451545,149597336.2,0.0167,322.63,357.55,0.00,140.29,31557979,23.44,6371,398600.435,86162,FALSE,TerrestrialBody,Planet,PlanetaryBody
Mars,4,Sol,10,2451545,227939132.9,0.0933,286.54,19.36,1.85,49.56,59354318,25.19,3389.9,42828.38,88639,FALSE,AtmosphericBody,Planet,AtmosphericBody
Jupiter,5,Sol,10,2451545,778547206.5,0.0488,275.07,18.82,1.30,100.49,374493467,3.1,69911,126686531.9,35730,FALSE,AtmosphericBody,Planet,AtmosphericBody
Saturn,6,Sol,10,2451545,1433449366.3,0.0557,336.01,320.35,2.49,113.64,935913079,26.73,58232,37931206.234,38358,FALSE,AtmosphericBody,Planet,AtmosphericBody
Uranus,7,Sol,10,2451545,2876679778.9,0.0444,96.54,142.96,0.77,73.99,2661042747,97.77,25362,5793950.6103,62064,FALSE,AtmosphericBody,Planet,AtmosphericBody
Neptune,8,Sol,10,2451545,4503440391.9,0.0112,265.65,267.77,1.77,131.79,5212301074,28.32,24624,6835099.97,57996,FALSE,AtmosphericBody,Planet,AtmosphericBody
Pluto,134340,Sol,10,2451545,5919776464.7,0.2494,115.18,14.14,17.24,110.04,7855647934,122,1188.3,869.326,551844,TRUE,TerrestrialBody,Planet,PlanetaryBody
Luna,301,Earth,399,2451545,381875.8,0.0631,61.54,146.67,20.94,282.24,2334208,6.33,1737.53,4902.8,0,FALSE,TerrestrialBody,Planet,PlanetaryBody
