ID,ID_JPLREF,PARENT,PARENT_JPLREF,EPOCH,REF_FRAME,A_SEMI_MAJOR_AXIS_KM,EC_ECCENTRICITY,W_ARG_PERIAPSIS_DEG,TP_TIME_DAYS,MA_MEAN_ANOMALY_DEG,IN_INCLINATION_DEG,OM_LONGITUDE_ASCENDING_NODE_DEG,PR_SIDEREAL_ORBIT_PERIOD_SEC,ROT_FRAME,TILT_OBLIQUITY_DEG,TILT_AZIMUTH_DEG,PARENT_ROT_LONG,MEAN_RADIUS_KM,GM_KM3/S2,SIDEREAL_PERIOD_SEC,RETROGRADE_ROT,GROUP,BODY_TYPE
Mercury,199,Sol,10,2451545,Ecliptic,0,0,0,0,0,0,0,0,Ecliptic,0,0,0,2439.4,22031.868,5067014,FALSE,Planet,PlanetaryBody
Venus,299,Sol,10,2451545,Ecliptic,0,0,0,0,0,0,0,0,Ecliptic,0,0,0,6051.84,324858.592,20996755,TRUE,Planet,AtmosphericBody
Earth,399,Sol,10,2451545,Ecliptic,0,0,0,0,0,0,0,0,Ecliptic,0,0,0,6371,398600.435,86162,FALSE,Planet,PlanetaryBody
Mars,499,Sol,10,2451545,Ecliptic,0,0,0,0,0,0,0,0,Ecliptic,0,0,0,3389.9,42828.38,88639,FALSE,Planet,AtmosphericBody
Jupiter,599,Sol,10,2451545,Ecliptic,0,0,0,0,0,0,0,0,Ecliptic,0,0,0,69911,126686531.9,35730,FALSE,Planet,AtmosphericBody
Saturn,699,Sol,10,2451545,Ecliptic,0,0,0,0,0,0,0,0,Ecliptic,0,0,0,58232,37931206.234,38358,FALSE,Planet,AtmosphericBody
Uranus,799,Sol,10,2451545,Ecliptic,0,0,0,0,0,0,0,0,Ecliptic,0,0,0,25362,5793950.6103,62064,FALSE,Planet,AtmosphericBody
Neptune,899,Sol,10,2451545,Ecliptic,0,0,0,0,0,0,0,0,Ecliptic,0,0,0,24624,6835099.97,57996,FALSE,Planet,AtmosphericBody
Pluto,999,Sol,10,2451545,Ecliptic,0,0,0,0,0,0,0,0,Ecliptic,0,0,0,1188.3,869.326,551844,TRUE,Planet,PlanetaryBody
Luna,301,Earth,399,2451545,Ecliptic,0,0,0,0,0,0,0,0,Ecliptic,0,0,0,1737.53,4902.8,0,FALSE,Planet,PlanetaryBody
Phobos,401,Mars,499,2451545,Ecliptic,0,0,0,0,0,0,0,0,Ecliptic,0,0,0,11.08,0.0007087,27561.6,FALSE,Planet,MinorBody
Deimos,402,Mars,499,2451545,Ecliptic,0,0,0,0,0,0,0,0,Ecliptic,0,0,0,6.2,0.0000962,109123.2,FALSE,Planet,MinorBody
Io,501,Jupiter,599,2451545,Ecliptic,0,0,0,0,0,0,0,0,Ecliptic,0,0,0,1821.49,5959.9155,0,FALSE,Galilean,PlanetaryBody
Europa,502,Jupiter,599,2451545,Ecliptic,0,0,0,0,0,0,0,0,Ecliptic,0,0,0,1560.8,3202.7121,0,FALSE,Galilean,PlanetaryBody
Ganymede,503,Jupiter,599,2451545,Ecliptic,0,0,0,0,0,0,0,0,Ecliptic,0,0,0,2631.2,9887.8328,0,FALSE,Galilean,PlanetaryBody
Callisto,504,Jupiter,599,2451545,Ecliptic,0,0,0,0,0,0,0,0,Ecliptic,0,0,0,2410.3,7179.2834,0,FALSE,Galilean,PlanetaryBody
Amalthea,505,Jupiter,599,2451545,Ecliptic,0,0,0,0,0,0,0,0,Ecliptic,0,0,0,83.5,0.16456,0,FALSE,Inner Jupiter,MinorBody
Thebe,514,Jupiter,599,2451545,Ecliptic,0,0,0,0,0,0,0,0,Ecliptic,0,0,0,49.3,0.03015,0,FALSE,Inner Jupiter,MinorBody
Adrastea,515,Jupiter,599,2451545,Ecliptic,0,0,0,0,0,0,0,0,Ecliptic,0,0,0,8.2,0.00014,0,FALSE,Inner Jupiter,MinorBody
Metis,516,Jupiter,599,2451545,Ecliptic,0,0,0,0,0,0,0,0,Ecliptic,0,0,0,21.5,0.0025,0,FALSE,Inner Jupiter,MinorBody
Himalia,506,Jupiter,599,2451545,Ecliptic,0,0,0,0,0,0,0,0,Ecliptic,0,0,0,85,0.151552,34560,FALSE,Himalia,MinorBody
Elara,507,Jupiter,599,2451545,Ecliptic,0,0,0,0,0,0,0,0,Ecliptic,0,0,0,40,0.01802061,43200,FALSE,Himalia,MinorBody
Pasiphae,508,Jupiter,599,2451545,Ecliptic,0,0,0,0,0,0,0,0,Ecliptic,0,0,0,18,0.0066743,86400,TRUE,Pasiphae,MinorBody
Sinope,509,Jupiter,599,2451545,Ecliptic,0,0,0,0,0,0,0,0,Ecliptic,0,0,0,14,0.001468346,47376,TRUE,Pasiphae,MinorBody
Lysithea,510,Jupiter,599,2451545,Ecliptic,0,0,0,0,0,0,0,0,Ecliptic,0,0,0,21,0.002602977,46008,FALSE,Himalia,MinorBody
Carme,511,Jupiter,599,2451545,Ecliptic,0,0,0,0,0,0,0,0,Ecliptic,0,0,0,23.4,0.003604122,37440,TRUE,Carme,MinorBody
Ananke,512,Jupiter,599,2451545,Ecliptic,0,0,0,0,0,0,0,0,Ecliptic,0,0,0,14.5,0.000867659,29916,TRUE,Ananke,MinorBody
Leda,513,Jupiter,599,2451545,Ecliptic,0,0,0,0,0,0,0,0,Ecliptic,0,0,0,10.7,0.0003470636,86400,FALSE,Himalia,MinorBody
Callirrhoe,517,Jupiter,599,2451545,Ecliptic,0,0,0,0,0,0,0,0,Ecliptic,0,0,0,4.8,0.00003070178,35640,FALSE,Pasiphae,MinorBody
Themisto,518,Jupiter,599,2451545,Ecliptic,0,0,0,0,0,0,0,0,Ecliptic,0,0,0,4.5,0.00002536234,86400,FALSE,Themisto,MinorBody
Magaclite,519,Jupiter,599,2451545,Ecliptic,0,0,0,0,0,0,0,0,Ecliptic,0,0,0,3,0.000004338295,35640,FALSE,Pasiphae,MinorBody
Taygete,520,Jupiter,599,2451545,Ecliptic,0,0,0,0,0,0,0,0,Ecliptic,0,0,0,2.5,0.000004338295,86400,FALSE,Carme,MinorBody
Chaldene,521,Jupiter,599,2451545,Ecliptic,0,0,0,0,0,0,0,0,Ecliptic,0,0,0,2,0.000002269262,86400,FALSE,Carme,MinorBody
Harpalyke,522,Jupiter,599,2451545,Ecliptic,0,0,0,0,0,0,0,0,Ecliptic,0,0,0,2,0.000002269262,86400,FALSE,Ananke,MinorBody
Kalyke,523,Jupiter,599,2451545,Ecliptic,0,0,0,0,0,0,0,0,Ecliptic,0,0,0,3.5,0.00001134631,86400,FALSE,Carme,MinorBody
Iocaste,524,Jupiter,599,2451545,Ecliptic,0,0,0,0,0,0,0,0,Ecliptic,0,0,0,2,0.000002269262,86400,FALSE,Ananke,MinorBody
Erinome,525,Jupiter,599,2451545,Ecliptic,0,0,0,0,0,0,0,0,Ecliptic,0,0,0,1.5,0.000000934402,86400,FALSE,Carme,MinorBody
Isonoe,526,Jupiter,599,2451545,Ecliptic,0,0,0,0,0,0,0,0,Ecliptic,0,0,0,2,0.000002269262,86400,FALSE,Carme,MinorBody
Praxidike,527,Jupiter,599,2451545,Ecliptic,0,0,0,0,0,0,0,0,Ecliptic,0,0,0,3.5,0.00001201374,86400,FALSE,Ananke,MinorBody
Autonoe,528,Jupiter,599,2451545,Ecliptic,0,0,0,0,0,0,0,0,Ecliptic,0,0,0,2,0.000002269262,86400,FALSE,Pasiphae,MinorBody
Thyone,529,Jupiter,599,2451545,Ecliptic,0,0,0,0,0,0,0,0,Ecliptic,0,0,0,2,0.000002269262,86400,FALSE,Ananke,MinorBody
Hermippe,530,Jupiter,599,2451545,Ecliptic,0,0,0,0,0,0,0,0,Ecliptic,0,0,0,2,0.000002269262,86400,FALSE,Ananke,MinorBody
Aitne,531,Jupiter,599,2451545,Ecliptic,0,0,0,0,0,0,0,0,Ecliptic,0,0,0,1.5,0.000000934402,86400,FALSE,Carme,MinorBody
Eurydome,532,Jupiter,599,2451545,Ecliptic,0,0,0,0,0,0,0,0,Ecliptic,0,0,0,1.5,0.000000934402,86400,FALSE,Pasiphae,MinorBody
Euanthe,533,Jupiter,599,2451545,Ecliptic,0,0,0,0,0,0,0,0,Ecliptic,0,0,0,1.5,0.000000934402,86400,FALSE,Ananke,MinorBody
Euporie,534,Jupiter,599,2451545,Ecliptic,0,0,0,0,0,0,0,0,Ecliptic,0,0,0,1,0.0000002803206,86400,FALSE,Ananke,MinorBody
Orthosie,535,Jupiter,599,2451545,Ecliptic,0,0,0,0,0,0,0,0,Ecliptic,0,0,0,1,0.0000002803206,86400,FALSE,Ananke,MinorBody
Sponde,536,Jupiter,599,2451545,Ecliptic,0,0,0,0,0,0,0,0,Ecliptic,0,0,0,1,0.0000002803206,86400,FALSE,Pasiphae,MinorBody
Kale,537,Jupiter,599,2451545,Ecliptic,0,0,0,0,0,0,0,0,Ecliptic,0,0,0,1,0.0000002803206,86400,FALSE,Carme,MinorBody
Pasithee,538,Jupiter,599,2451545,Ecliptic,0,0,0,0,0,0,0,0,Ecliptic,0,0,0,1,0.0000002803206,86400,FALSE,Carme,MinorBody
Hegemone,539,Jupiter,599,2451545,Ecliptic,0,0,0,0,0,0,0,0,Ecliptic,0,0,0,1.5,0.0000000934402,86400,FALSE,Pasiphae,MinorBody
Mneme,540,Jupiter,599,2451545,Ecliptic,0,0,0,0,0,0,0,0,Ecliptic,0,0,0,1,0.0000002803206,86400,FALSE,Ananke,MinorBody
Aoede,541,Jupiter,599,2451545,Ecliptic,0,0,0,0,0,0,0,0,Ecliptic,0,0,0,2,0.000002269262,86400,FALSE,Pasiphae,MinorBody
Thelxinoe,542,Jupiter,599,2451545,Ecliptic,0,0,0,0,0,0,0,0,Ecliptic,0,0,0,1,0.000002803206,86400,FALSE,Ananke,MinorBody
Arche,543,Jupiter,599,2451545,Ecliptic,0,0,0,0,0,0,0,0,Ecliptic,0,0,0,1.5,0.000000934402,86400,FALSE,Carme,MinorBody
Kallichore,544,Jupiter,599,2451545,Ecliptic,0,0,0,0,0,0,0,0,Ecliptic,0,0,0,1,0.0000002803206,86400,FALSE,Carme,MinorBody
Helike,545,Jupiter,599,2451545,Ecliptic,0,0,0,0,0,0,0,0,Ecliptic,0,0,0,2,0.000002269262,86400,FALSE,Ananke,MinorBody
Carpo,546,Jupiter,599,2451545,Ecliptic,0,0,0,0,0,0,0,0,Ecliptic,0,0,0,1.5,0.000000934402,86400,FALSE,Carpo,MinorBody
