ID,ID_JPLREF,PARENT,PARENT_JPLREF,EPOCH,REF_FRAME,A_SEMI_MAJOR_AXIS_KM,EC_ECCENTRICITY,W_ARG_PERIAPSIS_DEG,TP_TIME_DAYS,MA_MEAN_ANOMALY_DEG,IN_INCLINATION_DEG,OM_LONGITUDE_ASCENDING_NODE_DEG,PR_SIDEREAL_ORBIT_PERIOD_SEC,ROT_FRAME,TILT_OBLIQUITY_DEG,TILT_AZIMUTH_DEG,PARENT_ROT_LONG,MEAN_RADIUS_KM,GM_KM3/S2,SIDEREAL_PERIOD_SEC,RETROGRADE_ROT,GROUP,BODY_TYPE
Mercury,199,Sol,10,2451545.0,Ecliptic,57909079.691,0.2056,29.124,-42.7129,174.796,7.005,48.331,7600530,Ecliptic,7.036,228.237,265.552,2439.4,22031.868,5067014,FALSE,Planet,PlanetaryBody
Venus,299,Sol,10,2451545.0,Ecliptic,108208587.546,0.0068,55.186,-31.2797,50.115,3.395,76.678,19413936,Ecliptic,1.239,300.187,199.879,6051.84,324858.592,20996755,TRUE,Planet,AtmosphericBody
Earth,399,Sol,10,2451545.0,Ecliptic,149598265.075,0.0167,326.728,1.4039,358.617,0.002,135.081,31579397,Ecliptic,23.438,0.003,3.137,6371,398600.435,86162,FALSE,Planet,PlanetaryBody
Mars,499,Sol,10,2451545.0,Ecliptic,227939629.673,0.0934,286.537,-36.9371,19.356,1.849,49.562,59354318,Ecliptic,26.718,262.906,35.736,3389.9,42828.38,88639,FALSE,Planet,AtmosphericBody
Jupiter,599,Sol,10,2451545.0,Ecliptic,778303275.758,0.0489,275.069,-226.5455,18.816,1.304,100.491,374501014,Ecliptic,2.216,157.816,41.970,69911,126686531.9,35730,FALSE,Planet,AtmosphericBody
Saturn,699,Sol,10,2451545.0,Ecliptic,1430521988.719,0.0557,335.866,1190.7706,320.426,2.487,113.700,935900222,Ecliptic,28.052,349.528,262.420,58232,37931206.234,38358,FALSE,Planet,AtmosphericBody
Uranus,799,Sol,10,2451545.0,Ecliptic,2869208989.606,0.0475,96.589,-12225.3393,142.890,0.772,74.005,2661194504,Ecliptic,82.278,167.647,268.018,25362,5793950.6103,62064,FALSE,Planet,AtmosphericBody
Neptune,899,Sol,10,2451545.0,Ecliptic,4497306076.849,0.0093,267.316,15726.9778,266.105,1.77,131.784,5209777483,Ecliptic,28.483,228.755,58.539,24624,6835099.97,57996,FALSE,Planet,AtmosphericBody
Pluto,999,Sol,10,2451545.0,Ecliptic,5918092802.15,0.2503,115.179,-3572.1313,14.144,17.145,110.040,7855647934,Ecliptic,112.816,47.351,231.846,1188.3,869.326,551844,TRUE,Planet,PlanetaryBody
Luna,301,Earth,399,2451545.0,Ecliptic,383399.031,0.0554,308.923,-11.0071,146.673,5.156,123.958,2334196,Ecliptic,1.569,124.347,5.027,1737.53,4902.8,0,FALSE,Planet,PlanetaryBody
Phobos,401,Mars,499,2451545.0,Ecliptic,9378.543,0.0151,342.785,0.1509,189.822,26.765,84.815,27536,Ecliptic,26.057,264.821,0.481,11.08,0.0007087,27561.6,FALSE,Planet,MinorBody
Deimos,402,Mars,499,2451545.0,Ecliptic,23458.952,0.0003,211.895,-0.0179,5.094,27.439,83.669,109080,Ecliptic,27.575,263.669,0.002,6.2,0.0000962,109123.2,FALSE,Planet,MinorBody
Io,501,Jupiter,599,2451545.0,Ecliptic,422029.93,0.0042,66.165,0.1223,335.153,2.202,336.852,152300,Ecliptic,2.208,156.542,0.675,1821.49,5959.9155,0,FALSE,Galilean,PlanetaryBody
Europa,502,Jupiter,599,2451545.0,Ecliptic,671260.977,0.0094,254.647,0.1440,345.411,1.923,332.629,304600,Ecliptic,1.79,152.4,1.868,1560.8,3202.7121,0,FALSE,Galilean,PlanetaryBody
Ganymede,503,Jupiter,599,2451545.0,Ecliptic,1070620.978,0.0017,319.808,1.6489,277.049,2.248,343.173,618243,Ecliptic,2.213,163.072,2.562,2631.2,9887.8328,0,FALSE,Galilean,PlanetaryBody
Callisto,504,Jupiter,599,2451545.0,Ecliptic,1883133,0.0073,16.127,-3.9465,85.119,2.006,337.943,1442054,Ecliptic,2.017,157.827,358.303,2410.3,7179.2834,0,FALSE,Galilean,PlanetaryBody
Amalthea,505,Jupiter,599,2451545.0,Ecliptic,181993.93,0.0047,105.118,0.0331,336.266,2.229,330.411,43193,Ecliptic,2.455,151.045,358.383,83.5,0.16456,0,FALSE,Inner Jupiter,MinorBody
Thebe,514,Jupiter,599,2451545.0,Ecliptic,222398.653,0.0176,26.730,0.3341,182.493,2.343,338.095,58415,Ecliptic,3.122,156.562,359.544,49.3,0.03015,0,FALSE,Inner Jupiter,MinorBody
